address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
49 Crumley St SE,33.739297,-84.386141,ATLANTA,GA,30312,213250,128,2,3,1660,https://www.zillow.com/homedetails/49-Crumley-St-SE-Atlanta-GA-30312/69368967_zpid/
49 Ivy Rdg NE,33.857606,-84.378431,ATLANTA,GA,30342,290000,182,2,3,1588,https://www.zillow.com/homedetails/49-Ivy-Rdg-NE-Atlanta-GA-30342/35942604_zpid/
490 Center Hill Ave NW,33.768618,-84.464145,ATLANTA,GA,30318,124500,121,3,2,1026,https://www.zillow.com/homedetails/490-Center-Hill-Ave-NW-Atlanta-GA-30318/35856985_zpid/
490 North Ave. #110,33.77179,-84.361686,Atlanta,GA,30306,410000,281,2,2,1454,https://www.zillow.com/homedetails/490-North-Ave-110-Atlanta-GA-30306/2091297803_zpid/
4900 Mill Brook Dr,33.940959,-84.322149,ATLANTA,GA,30338,475000,200,3,3,2366,https://www.zillow.com/homedetails/4900-Mill-Brook-Dr-Atlanta-GA-30338/14583119_zpid/
4905 Ivy Ridge Dr SE UNIT 102,33.843278,-84.483146,Atlanta,GA,30339,265000,144,2,2.5,1828,https://www.zillow.com/homedetails/4905-Ivy-Ridge-Dr-SE-UNIT-102-Atlanta-GA-30339/171184103_zpid/
4905 Ivy Ridge Dr SE UNIT 203,33.843278,-84.483146,ATLANTA,GA,30339,242500,142,2,2,1700,https://www.zillow.com/homedetails/4905-Ivy-Ridge-Dr-SE-UNIT-203-Atlanta-GA-30339/69327479_zpid/
491 Burlington Rd NE,33.79006,-84.317162,ATLANTA,GA,30307,549000,239,5,3,2292,https://www.zillow.com/homedetails/491-Burlington-Rd-NE-Atlanta-GA-30307/14520148_zpid/
491 Harold Ave NE,33.767608,-84.330328,ATLANTA,GA,30307,355000,249,3,2,1424,https://www.zillow.com/homedetails/491-Harold-Ave-NE-Atlanta-GA-30307/14478593_zpid/
4910 Campbellton Rd SW,33.70491,-84.55105,Atlanta,GA,30331,33000,38,1,1,864,https://www.zillow.com/homedetails/4910-Campbellton-Rd-SW-Atlanta-GA-30331/2095322671_zpid/
4910 Summerford Dr,33.941727,-84.327792,Dunwoody,GA,30338,522000,206,4,3,2532,https://www.zillow.com/homedetails/4910-Summerford-Dr-Dunwoody-GA-30338/14582975_zpid/
4911 S Cobb Dr SE,33.834226,-84.492991,Smyrna,GA,30080,282000,151,4,4,1866,https://www.zillow.com/homedetails/4911-S-Cobb-Dr-SE-Smyrna-GA-30080/87680676_zpid/
4914 Payson Way SE # 4,33.832841,-84.482897,ATLANTA,GA,30339,294999,134,2,4,2200,https://www.zillow.com/homedetails/4914-Payson-Way-SE-4-Atlanta-GA-30339/61951428_zpid/
4919 Wolfcreek Vw,33.630122,-84.554459,ATLANTA,GA,30349,77200,44,3,2.5,1718,https://www.zillow.com/homedetails/4919-Wolfcreek-Vw-Atlanta-GA-30349/69382045_zpid/
