latitude,longitude,city,state,postal_code
33.820253,-84.34919,Atlanta,GA,30324
33.761356,-84.325351,Atlanta,GA,30307
33.868406,-84.359771,Atlanta,GA,30342
33.840296,-84.405346,Atlanta,GA,30305
33.835239,-84.288109,Atlanta,GA,30345
33.781909,-84.365793,Atlanta,GA,30306
33.819978,-84.400952,Atlanta,GA,30305
33.793688,-84.334,Atlanta,GA,30306
33.776176,-84.361395,Atlanta,GA,30306
33.761961,-84.364275,Atlanta,GA,30312
33.764269,-84.365651,Atlanta,GA,30312
33.792785,-84.355686,Atlanta,GA,30306
33.824292,-84.300256,Atlanta,GA,30345
33.767472,-84.369419,Atlanta,GA,30308
33.767472,-84.369419,Atlanta,GA,30308
33.785633,-84.368791,Atlanta,GA,30306
33.79697,-84.356598,Atlanta,GA,30306
33.852952,-84.383084,Atlanta,GA,30305
33.845018,-84.395058,Atlanta,GA,30305
33.871287,-84.362867,Atlanta,GA,30342
33.925846,-84.412075,Atlanta,GA,30328
33.807149,-84.399291,Atlanta,GA,30309
33.758398,-84.366247,Atlanta,GA,30312
33.774244,-84.367383,Atlanta,GA,30308
33.764072,-84.33759,Atlanta,GA,30307
33.832376,-84.346987,Atlanta,GA,30324
33.785181,-84.346221,Atlanta,GA,30306
33.775945,-84.376149,Atlanta,GA,30308
33.765764,-84.319456,Atlanta,GA,30307
33.740432,-84.366991,Atlanta,GA,30312
33.787937,-84.359413,Atlanta,GA,30306
33.831177,-84.385551,Atlanta,GA,30305
33.881271,-84.372147,Atlanta,GA,30342
33.825372,-84.301472,Atlanta,GA,30345
33.770817,-84.355297,Atlanta,GA,30306
33.787872,-84.353111,Atlanta,GA,30306
33.760877,-84.359334,Atlanta,GA,30307
33.800436,-84.395446,Atlanta,GA,30309
33.780543,-84.361698,Atlanta,GA,30306
33.78504,-84.362132,Atlanta,GA,30306
33.86467,-84.474743,Atlanta,GA,30339
33.836559,-84.391441,Atlanta,GA,30305
33.783176,-84.317975,Atlanta,GA,30307
33.835683,-84.344518,Atlanta,GA,30324
33.779482,-84.356375,Atlanta,GA,30306
33.855074,-84.284548,Atlanta,GA,30345
33.828109,-84.401523,Atlanta,GA,30305
33.87303,-84.369858,Atlanta,GA,30342
33.825892,-84.374145,Atlanta,GA,30305
33.815204,-84.384678,Atlanta,GA,30305
33.799232,-84.355817,Atlanta,GA,30306
33.802616,-84.374412,Atlanta,GA,30309
33.790281,-84.353194,Atlanta,GA,30306
33.798632,-84.358367,Atlanta,GA,30306
33.803298,-84.390946,Atlanta,GA,30309
33.806312,-84.367836,Atlanta,GA,30324
33.840974,-84.362424,Atlanta,GA,30305
33.70396,-84.543117,Atlanta,GA,30331
33.814922,-84.380703,Atlanta,GA,30305
33.766374,-84.332158,Atlanta,GA,30307
33.866407,-84.366649,Atlanta,GA,30342
33.849797,-84.381245,Atlanta,GA,30305
33.849797,-84.381245,Atlanta,GA,30305
33.843474,-84.347648,Atlanta,GA,30324
33.861523,-84.262946,Atlanta,GA,30345
33.767303,-84.349937,Atlanta,GA,30307
33.764739,-84.353019,Atlanta,GA,30307
33.77574,-84.349588,Atlanta,GA,30306
33.832629,-84.348679,Atlanta,GA,30324
33.759102,-84.360381,Atlanta,GA,30307
33.841005,-84.357446,Atlanta,GA,30324
33.919847,-84.371219,Atlanta,GA,30328
33.791457,-84.354409,Atlanta,GA,30306
33.831829,-84.38154,Atlanta,GA,30305
33.890521,-84.360427,Atlanta,GA,30342
33.959322,-84.322403,Atlanta,GA,30338
33.76731,-84.313961,Atlanta,GA,30307
33.806132,-84.350557,Atlanta,GA,30306
33.792279,-84.349772,Atlanta,GA,30306
33.849797,-84.381245,Atlanta,GA,30305
33.7778,-84.388052,Atlanta,GA,30308
33.771675,-84.357009,Atlanta,GA,30306
33.795622,-84.402533,Atlanta,GA,30309
33.784273,-84.366618,Atlanta,GA,30306
33.788936,-84.361075,Atlanta,GA,30306
33.782208,-84.353526,Atlanta,GA,30306
33.757924,-84.351052,Atlanta,GA,30307
33.76749,-84.342925,Atlanta,GA,30307
33.767235,-84.328021,Atlanta,GA,30307
33.80356,-84.365063,Atlanta,GA,30324
33.772894,-84.332773,Atlanta,GA,30307
33.778432,-84.354885,Atlanta,GA,30306
33.823084,-84.380982,Atlanta,GA,30305
33.837232,-84.298139,Atlanta,GA,30345
33.869119,-84.377081,Atlanta,GA,30342
33.827056,-84.384121,Atlanta,GA,30305
33.801545,-84.383932,Atlanta,GA,30309
33.855559,-84.35344,Atlanta,GA,30319
33.845157,-84.371513,Atlanta,GA,30305
33.769034,-84.324155,Atlanta,GA,30307
33.844036,-84.355974,Atlanta,GA,30324
33.795929,-84.346626,Atlanta,GA,30306
33.901826,-84.438019,Atlanta,GA,30339
33.836956,-84.366317,Atlanta,GA,30305
33.866632,-84.365198,Atlanta,GA,30342
33.849801,-84.267363,Atlanta,GA,30345
33.81139,-84.403769,Atlanta,GA,30318
33.789889,-84.350696,Atlanta,GA,30306
33.784863,-84.346944,Atlanta,GA,30306
33.827468,-84.388032,Atlanta,GA,30305
33.874859,-84.385223,Atlanta,GA,30342
33.847363,-84.472242,Atlanta,GA,30339
33.836085,-84.344067,Atlanta,GA,30324
33.813348,-84.422594,Atlanta,GA,30318
33.857077,-84.471384,Atlanta,GA,30339
33.780906,-84.320459,Atlanta,GA,30307
33.734079,-84.377572,Atlanta,GA,30315
33.791954,-84.352487,Atlanta,GA,30306
33.764858,-84.389328,Atlanta,GA,30308
33.924546,-84.40411,Atlanta,GA,30328
33.848565,-84.28495,Atlanta,GA,30345
33.926822,-84.313793,Atlanta,GA,30338
33.655638,-84.555632,Atlanta,GA,30349
33.900269,-84.364533,Atlanta,GA,30342
33.803668,-84.390211,Atlanta,GA,30309
33.695446,-84.550027,Atlanta,GA,30331
33.786744,-84.312258,Atlanta,GA,30307
33.813348,-84.422428,Atlanta,GA,30318
33.804486,-84.365543,Atlanta,GA,30324
33.816695,-84.411333,Atlanta,GA,30305
33.781019,-84.362702,Atlanta,GA,30306
33.783832,-84.383861,Atlanta,GA,30309
33.848097,-84.295895,Atlanta,GA,30345
33.867136,-84.37368,Atlanta,GA,30342
33.789239,-84.350022,Atlanta,GA,30306
33.898819,-84.372444,Atlanta,GA,30342
33.834417,-84.344155,Atlanta,GA,30324
33.858415,-84.356238,Atlanta,GA,30319
33.786036,-84.348545,Atlanta,GA,30306
33.780048,-84.350932,Atlanta,GA,30306
33.794333,-84.376866,Atlanta,GA,30309
33.787873,-84.353286,Atlanta,GA,30306
33.790221,-84.357115,Atlanta,GA,30306
33.779052,-84.352541,Atlanta,GA,30306
33.783966,-84.348444,Atlanta,GA,30306
33.780599,-84.360799,Atlanta,GA,30306
33.776504,-84.350107,Atlanta,GA,30306
33.942548,-84.321699,Atlanta,GA,30338
33.85513,-84.265327,Atlanta,GA,30345
33.854082,-84.474072,Atlanta,GA,30339
33.848163,-84.29263,Atlanta,GA,30345
33.885599,-84.374208,Atlanta,GA,30342
33.814285,-84.384718,Atlanta,GA,30305
33.791504,-84.351013,Atlanta,GA,30306
33.871588,-84.377266,Atlanta,GA,30342
33.765761,-84.321068,Atlanta,GA,30307
33.796358,-84.357721,Atlanta,GA,30306
33.783832,-84.383861,Atlanta,GA,30309
33.783832,-84.383861,Atlanta,GA,30309
33.93,-84.3665,Atlanta,GA,30328
33.93,-84.3665,Atlanta,GA,30328
33.8381,-84.365297,Atlanta,GA,30305
33.852825,-84.473434,Atlanta,GA,30339
33.862597,-84.45798,Atlanta,GA,30339
33.866749,-84.468172,Atlanta,GA,30339
33.82843,-84.352239,Atlanta,GA,30324
33.728326,-84.368249,Atlanta,GA,30312
33.870441,-84.40817,Atlanta,GA,30342
33.729241,-84.368233,Atlanta,GA,30312
33.759189,-84.351815,Atlanta,GA,30307
33.819694,-84.420424,Atlanta,GA,30318
33.765832,-84.325083,Atlanta,GA,30307
33.786161,-84.385296,Atlanta,GA,30309
33.782136,-84.347698,Atlanta,GA,30306
33.832908,-84.385346,Atlanta,GA,30305
33.79023,-84.343596,Atlanta,GA,30306
33.787314,-84.356626,Atlanta,GA,30306
33.835076,-84.365924,Atlanta,GA,30305
33.802159,-84.350158,Atlanta,GA,30306
33.779689,-84.362265,Atlanta,GA,30306
33.756953,-84.371331,Atlanta,GA,30312
33.805236,-84.394485,Atlanta,GA,30309
33.782127,-84.384139,Atlanta,GA,30309
33.783832,-84.383861,Atlanta,GA,30309
33.788406,-84.360069,Atlanta,GA,30306
33.93275,-84.395973,Atlanta,GA,30328
33.847068,-84.349236,Atlanta,GA,30324
33.832444,-84.353454,Atlanta,GA,30324
33.836115,-84.367033,Atlanta,GA,30305
33.902201,-84.348288,Atlanta,GA,30319
33.787397,-84.366892,Atlanta,GA,30306
33.770791,-84.353651,Atlanta,GA,30306
33.815136,-84.409444,Atlanta,GA,30318
33.768996,-84.369853,Atlanta,GA,30308
33.845159,-84.37151,Atlanta,GA,30305
33.763585,-84.367218,Atlanta,GA,30312
33.844858,-84.376221,Atlanta,GA,30305
33.76923,-84.323758,Atlanta,GA,30307
33.809692,-84.400756,Atlanta,GA,30309
33.860331,-84.269554,Atlanta,GA,30345
33.839935,-84.294702,Atlanta,GA,30345
33.868864,-84.402717,Atlanta,GA,30342
33.795522,-84.365838,Atlanta,GA,30306
33.947117,-84.390153,Atlanta,GA,30328
33.871824,-84.400719,Atlanta,GA,30342
33.762775,-84.332738,Atlanta,GA,30307
33.95438,-84.383262,Atlanta,GA,30328
33.794826,-84.40142,Atlanta,GA,30309
33.7809,-84.34774,Atlanta,GA,30306
33.947765,-84.299871,Atlanta,GA,30338
33.849671,-84.477045,Atlanta,GA,30339
33.806911,-84.40597,Atlanta,GA,30318
33.828406,-84.380211,Atlanta,GA,30305
33.8694,-84.467622,Atlanta,GA,30339
33.784614,-84.349095,Atlanta,GA,30306
33.783832,-84.383861,Atlanta,GA,30309
33.771861,-84.353442,Atlanta,GA,30306
33.838255,-84.472104,Atlanta,GA,30339
33.765107,-84.389219,Atlanta,GA,30308
33.783219,-84.345512,Atlanta,GA,30306
33.762704,-84.365705,Atlanta,GA,30312
33.842051,-84.368152,Atlanta,GA,30305
33.946677,-84.341269,Atlanta,GA,30338
33.742481,-84.373686,Atlanta,GA,30312
33.962342,-84.333237,Atlanta,GA,30338
33.935802,-84.310218,Atlanta,GA,30338
33.761587,-84.369466,Atlanta,GA,30312
33.857989,-84.365919,Atlanta,GA,30342
33.73825,-84.37452,Atlanta,GA,30312
33.816024,-84.382813,Atlanta,GA,30305
33.83512,-84.293173,Atlanta,GA,30345
33.93642,-84.309522,Atlanta,GA,30338
33.853004,-84.352326,Atlanta,GA,30319
33.82897,-84.375361,Atlanta,GA,30305
33.767466,-84.370412,Atlanta,GA,30308
33.958134,-84.344561,Atlanta,GA,30338
33.786513,-84.317212,Atlanta,GA,30307
33.865333,-84.375439,Atlanta,GA,30342
33.766375,-84.332675,Atlanta,GA,30307
33.836943,-84.365976,Atlanta,GA,30305
33.78459,-84.379972,Atlanta,GA,30309
33.772187,-84.368895,Atlanta,GA,30308
33.805236,-84.394485,Atlanta,GA,30309
33.804801,-84.394222,Atlanta,GA,30309
33.937765,-84.320226,Atlanta,GA,30338
33.849797,-84.381245,Atlanta,GA,30305
33.842439,-84.34325,Atlanta,GA,30324
33.809524,-84.39832,Atlanta,GA,30309
33.767388,-84.320092,Atlanta,GA,30307
33.794684,-84.345689,Atlanta,GA,30306
33.722659,-84.470389,Atlanta,GA,30311
33.823617,-84.37813,Atlanta,GA,30305
33.833292,-84.382292,Atlanta,GA,30305
33.789065,-84.35633,Atlanta,GA,30306
33.784614,-84.379814,Atlanta,GA,30309
33.783832,-84.383865,Atlanta,GA,30309
33.83256,-84.380781,Atlanta,GA,30305
33.797884,-84.388272,Atlanta,GA,30309
33.765888,-84.375643,Atlanta,GA,30308
33.83551,-84.28866,Atlanta,GA,30345
33.854611,-84.355259,Atlanta,GA,30319
33.812248,-84.406732,Atlanta,GA,30318
33.785097,-84.323591,Atlanta,GA,30307
33.795524,-84.366754,Atlanta,GA,30306
33.783832,-84.383861,Atlanta,GA,30309
33.839469,-84.357885,Atlanta,GA,30324
33.826145,-84.388006,Atlanta,GA,30305
33.849548,-84.265829,Atlanta,GA,30345
33.800146,-84.413096,Atlanta,GA,30318
33.78426,-84.318135,Atlanta,GA,30307
33.827468,-84.388032,Atlanta,GA,30305
33.87016,-84.370944,Atlanta,GA,30342
33.816337,-84.416186,Atlanta,GA,30318
33.761519,-84.350133,Atlanta,GA,30307
33.86385,-84.458453,Atlanta,GA,30339
33.766008,-84.369256,Atlanta,GA,30308
33.856519,-84.364161,Atlanta,GA,30342
33.865219,-84.277383,Atlanta,GA,30345
33.855076,-84.286047,Atlanta,GA,30345
33.872605,-84.387157,Atlanta,GA,30342
33.827468,-84.388032,Atlanta,GA,30305
33.838119,-84.271692,Atlanta,GA,30345
33.871705,-84.375164,Atlanta,GA,30342
33.928594,-84.384478,Atlanta,GA,30328
33.795892,-84.402862,Atlanta,GA,30309
33.775785,-84.356871,Atlanta,GA,30306
33.827943,-84.352084,Atlanta,GA,30324
33.794361,-84.342667,Atlanta,GA,30306
33.774628,-84.325658,Atlanta,GA,30307
33.771793,-84.35776,Atlanta,GA,30306
33.836268,-84.366483,Atlanta,GA,30305
33.815733,-84.386574,Atlanta,GA,30305
33.777085,-84.374144,Atlanta,GA,30308
33.767613,-84.332163,Atlanta,GA,30307
33.771568,-84.344071,Atlanta,GA,30307
33.784151,-84.352961,Atlanta,GA,30306
33.781803,-84.321098,Atlanta,GA,30307
33.777103,-84.36854,Atlanta,GA,30308
33.873296,-84.360745,Atlanta,GA,30342
33.825588,-84.386783,Atlanta,GA,30305
33.839529,-84.303726,Atlanta,GA,30345
33.927636,-84.364456,Atlanta,GA,30328
33.771562,-84.344235,Atlanta,GA,30307
33.771896,-84.349474,Atlanta,GA,30307
33.762716,-84.35219,Atlanta,GA,30307
33.762674,-84.322322,Atlanta,GA,30307
33.830963,-84.385421,Atlanta,GA,30305
33.781948,-84.364804,Atlanta,GA,30306
33.795002,-84.364576,Atlanta,GA,30306
33.838161,-84.364845,Atlanta,GA,30305
33.794402,-84.311442,Atlanta,GA,30307
33.853599,-84.284395,Atlanta,GA,30345
33.764171,-84.318495,Atlanta,GA,30307
33.732115,-84.374055,Atlanta,GA,30315
33.819854,-84.3815,Atlanta,GA,30305
33.772821,-84.35775,Atlanta,GA,30306
33.734158,-84.380827,Atlanta,GA,30315
33.866126,-84.276462,Atlanta,GA,30345
33.816239,-84.408364,Atlanta,GA,30305
33.785392,-84.363614,Atlanta,GA,30306
33.779653,-84.361803,Atlanta,GA,30306
33.870229,-84.396619,Atlanta,GA,30342
33.804824,-84.394112,Atlanta,GA,30309
33.827423,-84.306216,Atlanta,GA,30345
33.829041,-84.38331,Atlanta,GA,30305
33.721033,-84.468779,Atlanta,GA,30311
33.873638,-84.363066,Atlanta,GA,30342
33.851321,-84.262739,Atlanta,GA,30345
33.788357,-84.319767,Atlanta,GA,30307
33.765772,-84.346049,Atlanta,GA,30307
33.76967,-84.330331,Atlanta,GA,30307
33.757781,-84.363629,Atlanta,GA,30307
33.77506,-84.372515,Atlanta,GA,30308
33.765823,-84.33334,Atlanta,GA,30307
33.835475,-84.293999,Atlanta,GA,30345
33.842112,-84.365053,Atlanta,GA,30305
33.788365,-84.382523,Atlanta,GA,30309
33.832522,-84.344603,Atlanta,GA,30324
33.848021,-84.291921,Atlanta,GA,30345
33.764031,-84.347271,Atlanta,GA,30307
33.830681,-84.347998,Atlanta,GA,30324
33.953719,-84.327581,Atlanta,GA,30338
33.777478,-84.364721,Atlanta,GA,30306
33.78714,-84.324029,Atlanta,GA,30307
33.833266,-84.375821,Atlanta,GA,30305
33.784119,-84.349103,Atlanta,GA,30306
33.925372,-84.312171,Atlanta,GA,30338
33.833002,-84.365411,Atlanta,GA,30305
33.834698,-84.366228,Atlanta,GA,30305
33.864115,-84.363655,Atlanta,GA,30342
33.812514,-84.398392,Atlanta,GA,30309
33.837375,-84.298863,Atlanta,GA,30345
33.953569,-84.316681,Atlanta,GA,30338
33.766029,-84.346619,Atlanta,GA,30307
