title,address,latitude,longitude,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
New Construction,4400 Savannah Dr # RLIC5D,33.634867,-84.511099,College Park,GA,30349,"$241,990 ",5,4,"2,981",,https://www.zillow.com/community/savannah-walk/2091199269_zpid/
New Construction,4493 Creekside Cv # 3UPJ2I,33.630343,-84.540346,College Park,GA,30349,"$249,990 ",5,4,"2,941",,https://www.zillow.com/community/creekside-at-scarborough/2091199263_zpid/
New Construction,4400 Savannah Dr # 2D9E0D,33.634867,-84.511099,College Park,GA,30349,"$245,990 ",5,4,"2,941",,https://www.zillow.com/community/savannah-walk/2091199273_zpid/
New Construction,4400 Savannah Dr # SOSTCL,33.634867,-84.511099,College Park,GA,30349,"$225,990 ",5,3,"2,802",,https://www.zillow.com/community/savannah-walk/2091199272_zpid/
New Construction,4493 Creekside Cv # D3U18,33.630343,-84.540346,College Park,GA,30349,"$208,990 ",4,3,"2,330",,https://www.zillow.com/community/creekside-at-scarborough/2091199262_zpid/
New Construction,4400 Savannah Dr # TF3X38,33.634867,-84.511099,College Park,GA,30349,"$245,990 ",5,3,"3,151",,https://www.zillow.com/community/savannah-walk/2091199271_zpid/
New Construction,4493 Creekside Cv # JDNJYK,33.630343,-84.540346,College Park,GA,30349,"$204,990 ",4,3,"2,120",,https://www.zillow.com/community/creekside-at-scarborough/2091199268_zpid/
New Construction,4493 Creekside Cv # N9HYHZ,33.630343,-84.540346,College Park,GA,30349,"$249,990 ",5,3,"3,151",,https://www.zillow.com/community/creekside-at-scarborough/2091199261_zpid/
New Construction,5631 Savannah River Rd # T2NXAW,33.605376,-84.445727,Atlanta,GA,30349,"$227,990 ",5,3,"2,806",,https://www.zillow.com/community/river-s-station/2091199256_zpid/
New Construction,5631 Savannah River Rd # AZRVIW,33.605376,-84.445727,Atlanta,GA,30349,"$242,990 ",5,4,"2,941",,https://www.zillow.com/community/river-s-station/2091199255_zpid/
New Construction,4493 Creekside Cv # R7COAG,33.630343,-84.540346,College Park,GA,30349,"$229,990 ",5,3,"2,802",,https://www.zillow.com/community/creekside-at-scarborough/2091199265_zpid/
New Construction,4493 Creekside Cv # E86IPI,33.630343,-84.540346,College Park,GA,30349,"$234,990 ",5,3,"2,806",,https://www.zillow.com/community/creekside-at-scarborough/2091199267_zpid/
New Construction,4493 Creekside Cv # VLDE6R,33.630343,-84.540346,College Park,GA,30349,"$226,990 ",4,3,"2,831",,https://www.zillow.com/community/creekside-at-scarborough/2091199266_zpid/
New Construction,4400 Savannah Dr # FPMNRN,33.634867,-84.511099,College Park,GA,30349,"$230,990 ",5,3,"2,806",,https://www.zillow.com/community/savannah-walk/2091199274_zpid/
Condo For Sale,1005 Camelot Dr,33.602114,-84.475372,College Park,GA,30349,"$35,500 ",2,2,920,PalmerHouse Properties Realty,https://www.zillow.com/homedetails/1005-Camelot-Dr-College-Park-GA-30349/35827639_zpid/
House For Sale,3865 Lake Sanctuary Way,33.64966,-84.529006,Atlanta,GA,30349,"$308,000 ",6,4,"3,967",,https://www.zillow.com/homedetails/3865-Lake-Sanctuary-Way-Atlanta-GA-30349/98010712_zpid/
House For Sale,5329 Denny Dr # 0,33.607481,-84.45789,Atlanta,GA,30349,"$99,900 ",3,2,"1,769",RE/MAX Center,https://www.zillow.com/homedetails/5329-Denny-Dr-0-Atlanta-GA-30349/2091257719_zpid/
Townhouse For Sale,503 Pine Tree Trl,33.566965,-84.480911,Atlanta,GA,30349,"$40,000 ",2,2,"1,118",,https://www.zillow.com/homedetails/503-Pine-Tree-Trl-Atlanta-GA-30349/2093220792_zpid/
House For Sale,2396 Sandgate Rd,33.590741,-84.468151,Atlanta,GA,30349,"$115,000 ",3,3,"2,088",,https://www.zillow.com/homedetails/2396-Sandgate-Rd-Atlanta-GA-30349/35820808_zpid/
Condo For Sale,1305 Camelot Dr,33.602114,-84.475372,College Park,GA,30349,"$40,000 ",3,2,"1,449",,https://www.zillow.com/homedetails/1305-Camelot-Dr-College-Park-GA-30349/35827705_zpid/
House For Sale,4910 Heritage Cir,33.632519,-84.514819,Atlanta,GA,30349,"$194,000 ",3,3,"2,229",INVESTOR SOLUTIONS REALTY LLC,https://www.zillow.com/homedetails/4910-Heritage-Cir-Atlanta-GA-30349/82631884_zpid/
House For Sale,5430 Old Bill Cook Rd,33.607323,-84.482653,College Park,GA,30349,"$124,900 ",4,3,"1,227","Home Diversity, LLC",https://www.zillow.com/homedetails/5430-Old-Bill-Cook-Rd-College-Park-GA-30349/35828021_zpid/
House For Sale,5467 Park Pl S,33.606407,-84.443377,Atlanta,GA,30349,"$89,000 ",3,3,"1,584",CENTURY 21 Connect Realty,https://www.zillow.com/homedetails/5467-Park-Pl-S-Atlanta-GA-30349/2098460710_zpid/
Townhouse For Sale,2560 Picardy Cir N # NORTH,33.59702,-84.476754,College Park,GA,30349,"$99,000 ",3,3,"1,426",PalmerHouse Properties,https://www.zillow.com/homedetails/2560-Picardy-Cir-N-NORTH-College-Park-GA-30349/2091342422_zpid/
House For Sale,4055 Thaxton Rd,33.645294,-84.53842,Atlanta,GA,30349,"$299,000 ",4,2,"2,480",,https://www.zillow.com/homedetails/4055-Thaxton-Rd-Atlanta-GA-30349/35958373_zpid/
Condo For Sale,1402 Pine Tree Trl,33.567033,-84.478955,Atlanta,GA,30349,"$57,000 ",3,3,"1,466",,https://www.zillow.com/homedetails/1402-Pine-Tree-Trl-Atlanta-GA-30349/35823348_zpid/
House For Sale,3739 Uppark Dr,33.65397,-84.573103,Atlanta,GA,30349,"$185,000 ",4,3,"1,835",,https://www.zillow.com/homedetails/3739-Uppark-Dr-Atlanta-GA-30349/69374705_zpid/
New Construction,3869 Lake Manor Way # ZFH8H4,33.65091,-84.52728,Atlanta,GA,30349,"$193,990 ",4,3,"1,667",,https://www.zillow.com/community/lakeside-preserve-garden-series/2098246346_zpid/
House For Sale,120 Cainwood Ct E,33.566977,-84.48581,College Park,GA,30349,"$109,000 ",3,3,"1,856",,https://www.zillow.com/homedetails/120-Cainwood-Ct-E-College-Park-GA-30349/35824617_zpid/
Townhouse For Sale,1204 Pine Tree Trl,33.567141,-84.479311,Atlanta,GA,30349,"$40,000 ",3,3,"1,466","Home Diversity, LLC",https://www.zillow.com/homedetails/1204-Pine-Tree-Trl-Atlanta-GA-30349/35823310_zpid/
House For Sale,500 Cedar Wood Ct,33.590906,-84.487316,Atlanta,GA,30349,"$124,900 ",4,2,"1,456",,https://www.zillow.com/homedetails/500-Cedar-Wood-Ct-Atlanta-GA-30349/35821438_zpid/
House For Sale,1138 Shoreham Dr,33.609345,-84.432869,Atlanta,GA,30349,"$90,000 ",3,3,"1,194",PalmerHouse Properties & Assoc,https://www.zillow.com/homedetails/1138-Shoreham-Dr-Atlanta-GA-30349/35794742_zpid/
House For Sale,1197 Shoreham Dr,33.610046,-84.429068,Atlanta,GA,30349,"$90,000 ",3,2,"1,676",PalmerHouse Properties & Assoc,https://www.zillow.com/homedetails/1197-Shoreham-Dr-Atlanta-GA-30349/35794777_zpid/
Condo For Sale,707 Pine Tree Trl,33.566776,-84.479049,Atlanta,GA,30349,"$55,000 ",2,2,"1,118",,https://www.zillow.com/homedetails/707-Pine-Tree-Trl-Atlanta-GA-30349/2123257933_zpid/
New Construction,940 Pegasus Way,33.608024,-84.43827,Atlanta,GA,30349,"$265,721 ",4,3,"3,040",,https://www.zillow.com/homedetails/940-Pegasus-Way-Atlanta-GA-30349/2091552369_zpid/
For Sale by Owner,5595 Deerfield Trl,33.604966,-84.480969,College Park,GA,30349,"$83,000 ",3,2,"1,316",,https://www.zillow.com/homedetails/5595-Deerfield-Trl-College-Park-GA-30349/35827832_zpid/
House For Sale,6430 Tahoe Dr,33.58151,-84.494494,College Park,GA,30349,"$128,000 ",4,3,"2,181",Virtual Properties Realty .Net,https://www.zillow.com/homedetails/6430-Tahoe-Dr-College-Park-GA-30349/35822232_zpid/
For Sale by Owner,2555 Flat Shoals Rd APT 1302,33.589759,-84.474285,Atlanta,GA,30349,"$109,900 ",3,3,"1,430",,https://www.zillow.com/homedetails/2555-Flat-Shoals-Rd-APT-1302-Atlanta-GA-30349/82613018_zpid/
For Sale by Owner,939 Silverwood Dr,33.600124,-84.420326,Atlanta,GA,30349,"$99,000 ",3,3,"1,254",,https://www.zillow.com/homedetails/939-Silverwood-Dr-Atlanta-GA-30349/35797313_zpid/
